Health Center Site Fact Identification Number,Site Name,UDS Number,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Grantee Identification Number,Grant Number,Grantee Name,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Site Address Identification Number,Site Address Source System Identification Number,Enterprise Site Repository Source ID,Site Data Source,Site Address,Site City,Site State Abbreviation,Site Postal Code,U.S. - Mexico Border 100 Kilometer Indicator,Health Center Site Population Type Description,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,County or County Equivalent Federal Information Processing Standard Code,County Equivalent Name,County Description,Complete County Name,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,HHS Region Code,HHS Region Name,U.S. - Mexico Border County Indicator,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,Uniform Resource Locator (URL) for a Member of the U.S. House of Representatives,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date,BPHC Assigned Number,Site Open Date,Site Open Date Text,Site Added to Scope this Date,Site Add to Scope Date Text,BHCMIS Site Identification Number,Federally Qualified Health Center (FQHC) Look-Alike Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Name,Federally Qualified Health Center (FQHC) Look-Alike Street Address,Federally Qualified Health Center (FQHC) Look-Alike Organization City,Federally Qualified Health Center (FQHC) Look-Alike Organization State,Federally Qualified Health Center (FQHC) Look-Alike Organization ZIP Code,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Name,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Telephone Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Email Address,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
123,LifeLong Pinole Health Center,,510-981-3255,,40,609,H80CS00808,Lifelong Medical Care,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,9947,CD1F4143-6A9B-428E-99AB-4C5DAB13E00E,0BC6788E-EA21-4DDC-8949-1FD3381DF8FE,ESR_SCP,806 San Pablo Ave,Pinole,CA,94564-2478,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,13,Contra Costa,County            ,Contra Costa County,6013,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,5,California District 05,605,Mike Thompson,http://mikethompson.house.gov/,3/19/18,3/19/18,BPS-H80-020794,,/,6/27/17,6/27/17,92880,,,,,  ,,,,,-122.3088758,38.00529136
133,Westside Neighborhood Clinic,,844-594-0343,www.sbclinics.org,52,888,H80CS26625,Santa Barbara Neighborhood Clinics,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4340,587F64D0-7084-404E-A647-5B788600B385,BA5ED94A-3690-43B5-A97A-B92D13AF868F,ESR_SCP,628 W Micheltorena St,Santa Barbara,CA,93101-4131,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,83,Santa Barbara,County            ,Santa Barbara County,6083,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,24,California District 24,624,Salud O. Carbajal,https://carbajal.house.gov/,3/19/18,3/19/18,BPS-H80-019323,,/,3/9/17,3/9/17,09E01102,,,,,  ,,,,,-119.7158619,34.41909612
137,Marin Family Birth Center,,415-339-8813,www.marincityclinic.org/marin-family-birth-center/,40,1185,H80CS22689,MARIN CITY HEALTH AND WELLNESS CENTER,"Corporate Entity, Federal Tax Exempt",N,N,N,Y,Y,6931,8D6C4C5C-503A-43EE-B0DD-A70627D73667,48EAA6B5-2B0C-4917-B08D-0B121328E78B,ESR_SCP,880 Las Gallinas Ave Ste 1,San Rafael,CA,94903-3437,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,41,Marin,County            ,Marin County,6041,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-021381,,/,11/2/17,11/2/17,9.00E+105,,,,,  ,,,,,-122.5483592,38.00749913
139,NEIGHBORHOOD HEALTHCARE ~ PAUMA VALLEY,09354D,760-742-9919,www.nhcare.org,42,856,H80CS00285,NEIGHBORHOOD HEALTHCARE,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,5692,73D2D483-D53C-454A-9FB3-F2A6F081961D,D1BB8772-97B1-4BCC-9E65-7A9BB228A7EF,ESR_SCP,16650 Highway 76,Pauma Valley,CA,92061-9524,Y,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,50,California District 50,650,Duncan Hunter,http://hunter.house.gov/,3/19/18,3/19/18,BPS-H80-005249,10/1/98,10/1/98,9/1/02,9/1/02,93540,,,,,  ,,,,,-116.9693553,33.29361488
145,FamilyHealth at City College,,619-515-2300,,40,1030,H80CS00224,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,9231,BE66445F-3BBD-4730-95C7-DF30BB0AAD63,5F92A6D1-AE92-4CB2-B895-AE817C870F02,ESR_SCP,1550 Broadway Ste 2,San Diego,CA,92101-5713,Y,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,52,California District 52,652,Scott H. Peters,http://scottpeters.house.gov,3/19/18,3/19/18,BPS-H80-013966,6/17/14,6/17/14,6/24/14,6/24/14,93120,,,,,  ,,,,,-117.1499237,32.71581053
147,AltaMed Medical Group: Montebello,,323-724-5232,www.altamed.org,43,1002,H80CS00142,AltaMed Health Services Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,2559,3433E832-70FD-491A-B823-CA657C4E98C3,6CF8B7E5-2CF6-492B-B5B4-D24966AEBE98,ESR_SCP,2321 W Whittier Blvd,Montebello,CA,90640-3006,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,38,California District 38,638,Linda T. Síçnchez,http://lindasanchez.house.gov/,3/19/18,3/19/18,BPS-H80-007527,10/1/07,10/1/07,6/12/08,6/12/08,93110,,,,,  ,,,,,-118.1257076,34.01366486
150,South of Market Health Center,,415-503-6000,www.smhcsf.org,46,1203,H80CS00381,"San Francisco Medical Center Outpatient Improvement Programs, Incorporated","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,5294,6BA99027-0341-4ABD-863C-4C0BD84D70F9,6F7EC434-00BB-4852-8D89-4E04E7B7E959,ESR_SCP,229 7th St,San Francisco,CA,94103-4003,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,75,San Francisco,County            ,San Francisco County,6075,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,12,California District 12,612,Nancy Pelosi,http://pelosi.house.gov/,3/19/18,3/19/18,BPS-H80-008624,8/1/10,8/1/10,6/29/09,6/29/09,90530,,,,,  ,,,,,-122.4089452,37.77764741
169,WellSpace Health - Professional Health Center for Women,,916-515-1698,,30,6,H80CS12872,WellSpace Health,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,5090,6795E992-4017-41C0-9162-FE428ABD6F67,586726E2-9AA2-42B0-91A6-1A7A179205BD,ESR_SCP,4150 Truxel Rd Ste C,Sacramento,CA,95834-3761,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,67,Sacramento,County            ,Sacramento County,6067,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,6,California District 06,606,Doris O. Matsui,http://matsui.house.gov,3/19/18,3/19/18,BPS-H80-021229,,/,9/27/17,9/27/17,9.00E+03,,,,,  ,,,,,-121.5087978,38.64566644
180,"AltaMed Medical Group: Anaheim,  Lincoln - West",,714-635-0593,www.altamed.org,45,1002,H80CS00142,AltaMed Health Services Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,9969,CDB9E707-6AF1-4F3D-84F4-0C843036AD92,409FF250-8859-4E0A-B564-85427B04161D,ESR_SCP,1820 W Lincoln Ave,Anaheim,CA,92801-6730,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,46,California District 46,646,J. Luis Correa,https://correa.house.gov/,3/19/18,3/19/18,BPS-H80-008999,5/1/09,5/1/09,5/1/09,5/1/09,93110,,,,,  ,,,,,-117.946701,33.83242047
185,Moorpark Family Medical Clinic,,805-529-4624,,50,90,H80CS00247,COUNTY OF VENTURA,U.S. Government Entity,N,N,N,N,Y,585,0C0B6F2F-A577-4B0F-929E-679D82326CDE,EA5F2C5A-D894-4153-975C-3B79E3982AFC,ESR_SCP,612 Spring Rd Bldg A,Moorpark,CA,93021-1298,N,Rural,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,111,Ventura,County            ,Ventura County,6111,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,26,California District 26,626,Julia Brownley,http://juliabrownley.house.gov,3/19/18,3/19/18,BPS-H80-012254,2/20/12,2/20/12,12/31/12,12/31/12,98480,,,,,  ,,,,,-118.8746741,34.28157778
192,Cudahy Family Health Center,,323-908-4200,,40,758,H80CS00265,SOUTH CENTRAL FAMILY HEALTH CENTER,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,10579,D9C66574-BC94-40B0-AF67-0164EE5D0E4E,8B0F2F56-2AA9-4A48-9E29-76189E09AA9A,ESR_SCP,7910 Atlantic Ave,Cudahy,CA,90201-5774,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,40,California District 40,640,Lucille Roybal-Allard,https://roybal-allard.house.gov/,3/19/18,3/19/18,BPS-H80-017397,,/,12/28/15,12/28/15,90200,,,,,  ,,,,,-118.1860409,33.96233407
196,Seaside Family Health Center,,831-899-8100,,168,,,,, , , , , ,10701,DC81BC4C-65FD-4ABB-AA38-88AAC468E780,3902267A-B23C-41B2-8ECC-26D2529613D6,FQHC_LKL,1156 Fremont Blvd,Seaside,CA,93955-5756,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,53,Monterey,County            ,Monterey County,6053,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,20,California District 20,620,Jimmy Panetta,https://panetta.house.gov/,3/19/18,3/19/18,BPS-LAL-020829,,/,6/22/17,6/22/17,,LAL00049,"Monterey, County Of",168 W Alisal St Fl 2,Salinas,CA,93901-2487,julie c Edgcomb,831-796-1386,edgcombj@co.monterey.ca.us,-121.8489811,36.6016848
206,VHC Moorpark-Maternal Fetal Medicine,,408-885-7049,,46,1093,H80CS01442,"SANTA CLARA, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,2641,35E30277-6883-45D0-A228-A23AB091F27A,3A8C8717-E607-41E6-A416-86BC2B848845,ESR_SCP,2400 Moorpark Ave Ste 100,San Jose,CA,95128-2623,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,85,Santa Clara,County            ,Santa Clara County,6085,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,18,California District 18,618,Anna G. Eshoo,http://eshoo.house.gov/,3/19/18,3/19/18,BPS-H80-018236,,/,7/7/04,7/7/04,911810,,,,,  ,,,,,-121.937103,37.31608249
