Health Center Site Fact Identification Number,Site Name,UDS Number,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Grantee Identification Number,Grant Number,Grantee Name,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Site Address Identification Number,Site Address Source System Identification Number,Enterprise Site Repository Source ID,Site Data Source,Site Address,Site City,Site State Abbreviation,Site Postal Code,U.S. - Mexico Border 100 Kilometer Indicator,Health Center Site Population Type Description,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,County or County Equivalent Federal Information Processing Standard Code,County Equivalent Name,County Description,Complete County Name,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,HHS Region Code,HHS Region Name,U.S. - Mexico Border County Indicator,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,Uniform Resource Locator (URL) for a Member of the U.S. House of Representatives,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date,BPHC Assigned Number,Site Open Date,Site Open Date Text,Site Added to Scope this Date,Site Add to Scope Date Text,BHCMIS Site Identification Number,Federally Qualified Health Center (FQHC) Look-Alike Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Name,Federally Qualified Health Center (FQHC) Look-Alike Street Address,Federally Qualified Health Center (FQHC) Look-Alike Organization City,Federally Qualified Health Center (FQHC) Look-Alike Organization State,Federally Qualified Health Center (FQHC) Look-Alike Organization ZIP Code,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Name,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Telephone Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Email Address,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
1343,Altura Centers for Health Mobile Clinic 1,09534B,559-685-4601,ww.altura.org,33.5,287,H80CS00338,Altura Centers For Health,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,1385,1BC37668-DB14-4AE2-886A-6B1F3C059629,59FCF744-FD17-4087-8B44-D3F7CCB1C3B9,ESR_SCP,1201 N Cherry St,Tulare,CA,93274-2233,N,Rural,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,107,Tulare,County            ,Tulare County,6107,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,22,California District 22,622,Devin Nunes,http://nunes.house.gov/,3/19/18,3/19/18,BPS-H80-000986,10/1/07,10/1/07,7/1/07,7/1/07,95340,,,,,  ,,,,,-119.3369985,36.2245297
1352,Mobile Dental Van.,,707-784-2120,,32,661,H80CS04218,"SOLANO, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,8936,B858D203-2A3C-4BDA-959E-B2680073C7F9,577484F6-0871-42FD-9D12-2F69DA07E674,ESR_SCP,3255 N Texas St,Fairfield,CA,94533-9714,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,95,Solano,County            ,Solano County,6095,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,3,California District 03,603,John Garamendi,http://garamendi.house.gov/,3/19/18,3/19/18,BPS-H80-010607,,/,6/28/11,6/28/11,921350,,,,,  ,,,,,-122.0341685,38.28801447
1622,AltaMed Medical Group:  Mobile Van,09311W,323-869-1900,www.altamed.org,20,1002,H80CS00142,AltaMed Health Services Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,4017,51D1919A-C46D-4C28-BF0F-FA5FE3128EC5,F991872E-400C-4868-8A59-269F9B947148,ESR_SCP,5427 Whittier Blvd,Los Angeles,CA,90022-4101,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,40,California District 40,640,Lucille Roybal-Allard,https://roybal-allard.house.gov/,3/19/18,3/19/18,BPS-H80-000080,1/1/99,1/1/99,1/1/99,1/1/99,93110,,,,,  ,,,,,-118.1535943,34.01965701
1630,Mobile Primary Care Vann,,707-469-4640,,32,661,H80CS04218,"SOLANO, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,8935,B858D203-2A3C-4BDA-959E-B2680073C7F9,A797E054-7283-4A07-B975-6B7053496734,ESR_SCP,3255 N Texas St,Fairfield,CA,94533-9714,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,95,Solano,County            ,Solano County,6095,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,3,California District 03,603,John Garamendi,http://garamendi.house.gov/,3/19/18,3/19/18,BPS-H80-015167,,/,5/11/15,5/11/15,921350,,,,,  ,,,,,-122.0341685,38.28801447
1671,AltaMed Medical Group:  Mobile Van Counseling & Testing,09311X,323-307-0100,www.altamed.org,20,1002,H80CS00142,AltaMed Health Services Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,3059,3E2258AE-9E78-42E5-92D8-CFA4D87C6917,2A740E1F-9D97-4C18-86F0-A9233CBECDCE,ESR_SCP,512 S Indiana St,Los Angeles,CA,90063-3911,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,40,California District 40,640,Lucille Roybal-Allard,https://roybal-allard.house.gov/,3/19/18,3/19/18,BPS-H80-005754,1/1/90,1/1/90,1/1/90,1/1/90,93110,,,,,  ,,,,,-118.1923031,34.03003896
2290,Puente A La Salud Mobile Clinics,,714-771-8801,,40,283,H80CS26628,St. Jude Neighborhood Health Centers,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,11168,E649385C-1043-43EB-8945-894119B3BED9,66E9CB6D-C748-4AC1-AEA8-1436D286258A,ESR_SCP,363 S Main St Ste 204,Orange,CA,92868-3833,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,46,California District 46,646,J. Luis Correa,https://correa.house.gov/,3/19/18,3/19/18,BPS-H80-014760,,/,3/11/15,3/11/15,09E01056,,,,,  ,,,,,-117.8672481,33.78274294
2451,Mobile Unit #6878,,925-313-6250,,40,397,H80CS00050,"CONTRA COSTA, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,6466,83720FEA-F6FB-4F80-A15B-07B69E2BED85,93D02B78-5699-4B6C-AD30-10F2E2378026,ESR_SCP,651 Pine St,Martinez,CA,94553,N,Urban,2,School,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,13,Contra Costa,County            ,Contra Costa County,6013,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,5,California District 05,605,Mike Thompson,http://mikethompson.house.gov/,3/19/18,3/19/18,BPS-H80-012668,6/1/13,6/1/13,6/18/13,6/18/13,91120,,,,,  ,,,,,-122.13383,38.01915007
2613,SCHC PROJ HOPE MED/DENT MOBILE,09224I,530-246-5947,WWW.SHASTAHEALTH.ORG,40,444,H80CS00832,SHASTA COMMUNITY HEALTH CENTER,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,8446,AD597952-93A9-4C5E-B07A-24426D0F50C3,87CFC589-B66F-472C-B2A1-DC2529B93886,ESR_SCP,1035 Placer St,Redding,CA,96001-1125,N,Rural,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,89,Shasta,County            ,Shasta County,6089,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,1,California District 01,601,Doug LaMalfa,http://lamalfa.house.gov,3/19/18,3/19/18,BPS-H80-004727,1/10/03,1/10/03,1/10/03,1/10/03,92240,,,,,  ,,,,,-122.3856562,40.58342099
3426,Marin City Health and Wellness Dental Van,,415-339-8813,,168,1185,H80CS22689,MARIN CITY HEALTH AND WELLNESS CENTER,"Corporate Entity, Federal Tax Exempt",N,N,N,Y,Y,10372,D5FCD189-B0CB-4C19-BE23-6670EF1BEC3F,8F91C57D-CE14-4F08-984D-E04BCCB11853,ESR_SCP,630 Drake Ave,Sausalito,CA,94965-1107,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,41,Marin,County            ,Marin County,6041,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,2,California District 02,602,Jared Huffman,http://huffman.house.gov,3/19/18,3/19/18,BPS-H80-018085,,/,6/13/16,6/13/16,9.00E+105,,,,,  ,,,,,-122.5148578,37.87216285
3451,Family HealthCare Network - Mobile Van #1,,877-960-3426,www.fhcn.org,40,1375,H80CS00786,Family Healthcare Network,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,4297,57912E9B-511C-422B-B266-6A7354A3D572,D9F65BA2-570D-4DFE-9C76-E9FC77CC8884,ESR_SCP,31180 Road 72,Visalia,CA,93291-9672,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,107,Tulare,County            ,Tulare County,6107,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,22,California District 22,622,Devin Nunes,http://nunes.house.gov/,3/19/18,3/19/18,BPS-H80-019392,,/,3/16/17,3/16/17,93640,,,,,  ,,,,,-119.4124014,36.35584903
3481,SJWCFC Mobile #1,,213-400-6056,,40,923,H80CS00873,"St. John's Well Child And Family Center, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,7865,A0E27DC3-54BB-4474-BEE1-38108F72E070,5EFB66F5-189A-4F9A-BCA6-E68943638BA6,ESR_SCP,808 W 58th St,Los Angeles,CA,90037-3632,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,37,California District 37,637,Karen Bass,http://karenbass.house.gov/,3/19/18,3/19/18,BPS-H80-013482,9/26/12,9/26/12,12/23/13,12/23/13,910370,,,,,  ,,,,,-118.2874942,33.98965553
3694,VISTA COMMUNITY CLINIC MOBILE VAN,,760-631-5000 x4,,25,657,H80CS00282,VISTA COMMUNITY CLINIC,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,9400,C1DAB843-B751-4FFB-8996-DDED99FA8032,61D659FB-88CA-4A03-8002-433319BAE1CC,ESR_SCP,1000 Vale Terrace Dr,Vista,CA,92084-5218,Y,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,0,Unknown,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,49,California District 49,649,Darrell E. Issa,https://issa.house.gov/,3/19/18,3/19/18,BPS-H80-014107,5/1/14,5/1/14,7/25/14,7/25/14,91670,,,,,  ,,,,,-117.2288096,33.20904545
3735,Tri-State Community Healthcare Center- Mobile Unit,,760-530-9944,,30,1331,H80CS28370,Tri-State Community Healthcare Center,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,1279,19D1EB1D-FAF6-4E55-A9A8-83B1C77160E0,738A979A-5304-4911-B7CA-B4A1562B8E9A,ESR_SCP,11888 Bartlett Ave,Adelanto,CA,92301-1709,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,71,San Bernardino,County            ,San Bernardino County,6071,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,8,California District 08,608,Paul Cook,http://cook.house.gov,3/19/18,3/19/18,BPS-H80-021536,,/,12/12/17,12/12/17,09E01144,,,,,  ,,,,,-117.4068317,34.57927048
3737,St. Jude Neighborhood Health Centers' Mobile Clinic,,714-446-5100,,24,283,H80CS26628,St. Jude Neighborhood Health Centers,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,5732,74B9DA57-5A9A-4CEF-BCBB-73175179AEA9,55297D1D-E66C-46BB-8286-759EE264153B,ESR_SCP,731 S Highland Ave,Fullerton,CA,92832-2753,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,39,California District 39,639,Edward R. Royce,http://www.royce.house.gov/,3/19/18,3/19/18,BPS-H80-013567,1/1/90,1/1/90,1/31/14,1/31/14,09E01056,,,,,  ,,,,,-117.9287505,33.86350561
3860,Central City Community Health Center - Mobile Medical Unit #3,,626-653-0800,www.centralcityhealth.org,30,370,H80CS10608,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,10247,D3437A06-0F1B-4000-A7A7-C95E36E616CF,1BA7B952-BE19-4FB3-B940-CEDECE6E77D5,ESR_SCP,4126 Maine Ave,Baldwin Park,CA,91706-3306,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,32,California District 32,632,Grace F. Napolitano,http://napolitano.house.gov/,3/19/18,3/19/18,BPS-H80-019388,,/,2/2/17,2/2/17,9.00E+66,,,,,  ,,,,,-117.960365,34.08739346
3911,FHCSD Mobile Medical Unit III,,619-515-2300,www.fhcsd.org,30,1030,H80CS00224,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,10865,E012E977-0206-43E5-99E1-AD252F3F9DA9,B2879905-3FB4-45C7-8EC5-7F2606C69FAE,ESR_SCP,823 Gateway Center Way,San Diego,CA,92102-4541,Y,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,51,California District 51,651,Juan Vargas,http://vargas.house.gov,3/19/18,3/19/18,BPS-H80-002013,11/1/04,11/1/04,9/2/05,9/2/05,93120,,,,,  ,,,,,-117.1134135,32.7150325
3956,Centro Medico Mobile Clinic,,760-767-5051,www.borregomedical.org,30,442,H80CS00287,BORREGO COMMUNITY HEALTH FOUNDATION,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,8553,AF974F97-C2D3-440C-9AA0-64EC64E3903D,C717C48F-5EB5-4B95-9F73-685425E8F0EB,ESR_SCP,55497 Van Buren St,Coachella,CA,92236,N,Rural,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,65,Riverside,County            ,Riverside County,6065,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,36,California District 36,636,Raul Ruiz,http://ruiz.house.gov,3/19/18,3/19/18,BPS-H80-006857,12/1/05,12/1/05,6/4/07,6/4/07,99010,,,,,  ,,,,,-116.1988571,33.64511728
4113,Mobile Unit #6879,,925-313-6250,,40,397,H80CS00050,"CONTRA COSTA, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,7276,94C483CB-0CFA-4504-A2B8-56B30299336F,A228B108-CDF2-4559-BA5A-9963303A9A64,ESR_SCP,651 Pine St,Martinez,CA,94553,N,Urban,2,School,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,13,Contra Costa,County            ,Contra Costa County,6013,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,5,California District 05,605,Mike Thompson,http://mikethompson.house.gov/,3/19/18,3/19/18,BPS-H80-012853,6/1/13,6/1/13,8/26/13,8/26/13,91120,,,,,  ,,,,,-122.13383,38.01915007
